epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5510.62,1.2665,0.75459,1.1655,0.90427,0.86808,0.92255,0.57314,1.30255,0.63669,1.17952,0.0005941,0.0005941,0.0005941
43,5616.51,1.26941,0.76189,1.16554,0.89964,0.87164,0.92439,0.58074,1.28151,0.63092,1.17066,0.0005842,0.0005842,0.0005842
44,5754.28,1.26424,0.75347,1.16881,0.90909,0.86579,0.9292,0.57265,1.32249,0.62769,1.19273,0.0005743,0.0005743,0.0005743
45,5902.25,1.255,0.74098,1.16239,0.90679,0.86821,0.92686,0.57957,1.29604,0.62221,1.17745,0.0005644,0.0005644,0.0005644
46,6040.79,1.24778,0.7451,1.16227,0.90241,0.8762,0.92546,0.5803,1.29531,0.62108,1.17783,0.0005545,0.0005545,0.0005545
47,6154.37,1.26208,0.75513,1.17072,0.90028,0.87924,0.93029,0.58486,1.28948,0.61309,1.17637,0.0005446,0.0005446,0.0005446
48,6303.39,1.2487,0.74142,1.15948,0.91251,0.86601,0.92507,0.58856,1.27359,0.60896,1.16729,0.0005347,0.0005347,0.0005347
49,6456.02,1.24606,0.7479,1.16128,0.90191,0.88013,0.92577,0.58572,1.27882,0.61047,1.16718,0.0005248,0.0005248,0.0005248
50,6599.01,1.25048,0.74188,1.15761,0.90578,0.88239,0.93098,0.58646,1.28872,0.61346,1.17425,0.0005149,0.0005149,0.0005149
51,6739.67,1.24374,0.73569,1.15594,0.90219,0.87862,0.93011,0.58032,1.30482,0.60826,1.17735,0.000505,0.000505,0.000505
52,6883.88,1.25336,0.74272,1.16372,0.90678,0.87823,0.93235,0.58693,1.28681,0.6066,1.17227,0.0004951,0.0004951,0.0004951
53,7031.35,1.2527,0.74709,1.16158,0.91012,0.87691,0.92904,0.59064,1.27911,0.60401,1.16854,0.0004852,0.0004852,0.0004852
54,7169.21,1.24259,0.7343,1.16012,0.90853,0.87985,0.93165,0.59709,1.26044,0.59522,1.16517,0.0004753,0.0004753,0.0004753
55,7317.69,1.26178,0.73485,1.16403,0.92279,0.86626,0.93234,0.59172,1.28548,0.59652,1.17232,0.0004654,0.0004654,0.0004654
56,7436.51,1.24409,0.7206,1.15277,0.91788,0.8732,0.93116,0.59462,1.2692,0.5886,1.15915,0.0004555,0.0004555,0.0004555
57,7541.41,1.2506,0.73423,1.15587,0.91157,0.87978,0.93174,0.59149,1.27913,0.59355,1.16657,0.0004456,0.0004456,0.0004456
58,7647.88,1.23332,0.71265,1.14444,0.9135,0.88003,0.9336,0.59791,1.25913,0.58506,1.15607,0.0004357,0.0004357,0.0004357
59,7754.8,1.23625,0.71221,1.14266,0.91046,0.88096,0.93403,0.5913,1.27181,0.58739,1.15431,0.0004258,0.0004258,0.0004258
60,7864.82,1.22498,0.71931,1.14626,0.91369,0.88054,0.93441,0.59023,1.27028,0.5874,1.16514,0.0004159,0.0004159,0.0004159
61,8006.94,1.23712,0.72225,1.14846,0.90438,0.88752,0.93279,0.5937,1.26649,0.58812,1.16262,0.000406,0.000406,0.000406
62,8144.08,1.21606,0.70206,1.14343,0.91069,0.87846,0.93722,0.59003,1.27866,0.58385,1.16423,0.0003961,0.0003961,0.0003961
63,8270.42,1.22664,0.71107,1.14405,0.91324,0.88397,0.93409,0.59741,1.26923,0.58333,1.16244,0.0003862,0.0003862,0.0003862
64,8458.82,1.22749,0.70092,1.14039,0.91225,0.88464,0.93484,0.5971,1.26869,0.58171,1.1591,0.0003763,0.0003763,0.0003763
65,8637.74,1.22555,0.7034,1.14251,0.9112,0.88717,0.93433,0.59765,1.27057,0.58304,1.15975,0.0003664,0.0003664,0.0003664
66,8828.77,1.22208,0.70279,1.14082,0.91106,0.88601,0.93456,0.59773,1.26029,0.57532,1.15244,0.0003565,0.0003565,0.0003565
67,8990.96,1.21639,0.6947,1.1385,0.91435,0.88171,0.93577,0.60001,1.25362,0.56958,1.15277,0.0003466,0.0003466,0.0003466
68,9149.8,1.21215,0.69385,1.13321,0.91794,0.88606,0.93644,0.59765,1.26065,0.56784,1.15303,0.0003367,0.0003367,0.0003367
69,9313.03,1.21672,0.68994,1.13801,0.91408,0.88944,0.93522,0.60224,1.25164,0.56656,1.15002,0.0003268,0.0003268,0.0003268
70,9456.54,1.20554,0.68669,1.13216,0.91754,0.88122,0.93804,0.59781,1.25967,0.57252,1.15439,0.0003169,0.0003169,0.0003169
71,9590.69,1.2035,0.69123,1.13505,0.91585,0.88656,0.93956,0.59992,1.2641,0.56411,1.15407,0.000307,0.000307,0.000307
72,9750.31,1.21547,0.68604,1.13864,0.9126,0.88818,0.93806,0.59783,1.26376,0.56791,1.1576,0.0002971,0.0002971,0.0002971
73,9893.66,1.20047,0.67359,1.13371,0.91442,0.88467,0.93798,0.59609,1.2656,0.56733,1.1598,0.0002872,0.0002872,0.0002872
74,10032.3,1.19395,0.67423,1.12662,0.91022,0.89237,0.93944,0.6009,1.2568,0.5631,1.15441,0.0002773,0.0002773,0.0002773
